produto_pt,produto_en,produto_es,var_2019_2022_pct,var_2023_2026_pct,acumulado_vs_jan2019_pct
Manga,Mango,Mango,105.6,104.6,320.7
Repolho,Cabbage,Repollo,101.4,57.2,216.6
Melancia,Watermelon,Sandía,117.1,29.7,181.6
Leite longa vida,UHT milk,Leche larga vida,130.5,19.4,175.2
Feijão macáçar (fradinho),Black-eyed pea,Frijol caupí,149,9.9,173.7
Feijão carioca (rajado),Carioca bean,Frijol carioca,130.9,12.9,160.7
Alface,Lettuce,Lechuga,85.1,40.1,159.3
Café moído,Ground coffee,Café molido,72.7,48.7,156.8
Pimentão,Bell pepper,Pimiento,113.7,19.8,156
Óleo de soja,Soybean oil,Aceite de soja,174.3,-14.2,135.3
Mamão,Papaya,Papaya,117.5,6.2,131
Mandioca (aipim),Cassava,Yuca,90.9,12.6,115
Couve,Collard greens,Berza,51.1,38.7,109.6
Brócolis,Broccoli,Brócoli,53.4,35.8,108.3
Carnes,Meat,Carnes,73.7,17,103.2
curimatã,Curimatã (river fish),Curimatá (pez de río),67,21.2,102.4
Banana-da-terra,Plantain,Plátano,60.1,25.9,101.6
Cheiro-verde,Parsley and chives,Perejil y cebollín,42.4,41.3,101.2
Feijão mulatinho,Mulatinho bean,Frijol mulatinho,73.4,12.4,94.9
Batata-inglesa,Potato,Papa,64,15.2,88.9
Gasolina,Petrol,Gasolina,39.9,31.4,83.8
Combustível,Fuel,Combustible,44.6,26.9,83.5
Banana prata,Silver banana,Banana plata,67.4,8.5,81.6
Alho,Garlic,Ajo,62,11.2,80.1
Sorvete,Ice cream,Helado,45.4,23.6,79.7
Carne-seca e de sol,Dried salted beef,Carne seca y salada,48.6,20.1,78.5
Frango em pedaços,Chicken pieces,Pollo en trozos,76.5,0.9,78.1
Banana d'água,Water banana,Banana de agua,67.5,5.4,76.5
Gás encanado,Piped gas,Gas por tubería,65.8,5.8,75.4
Ovo de galinha,Chicken eggs,Huevo de gallina,63.3,5.7,72.6
Açúcar refinado,Refined sugar,Azúcar refinada,83,-6,72
Gás de botijão,Bottled cooking gas,Gas en garrafa,62.3,5.1,70.6
Iogurte e bebidas lácteas,Yoghurt and dairy drinks,Yogur y bebidas lácteas,34.1,26.3,69.4
Leite de coco,Coconut milk,Leche de coco,36.2,22.7,67.1
Carne de porco,Pork,Carne de cerdo,51.8,8.1,64.1
Sardinha em conserva,Canned sardines,Sardina en conserva,46.5,11.9,63.9
Açúcar cristal,Raw sugar,Azúcar cristal,86.2,-12.1,63.7
Fígado,Liver,Hígado,67,-2,63.7
Café solúvel,Instant coffee,Café soluble,32.9,23.2,63.7
Frango inteiro,Whole chicken,Pollo entero,62.7,0.4,63.4
Margarina,Margarine,Margarina,59.1,2.2,62.6
Pepino em conserva,Pickled cucumber,Pepino en conserva,45.5,11.7,62.5
Milho-verde em conserva,Canned sweetcorn,Maíz dulce en conserva,65.6,-2.2,62
Salsicha em conserva,Canned sausage,Salchicha en conserva,55.1,3.9,61.1
Queijo,Cheese,Queso,44.7,10,59.2
Pão de queijo,Cheese bread,Pan de queso,30.7,20.7,57.8
Pera,Pear,Pera,44.7,6.8,54.5
Maionese,Mayonnaise,Mayonesa,41,9.5,54.4
Uva,Grapes,Uva,27.2,21.1,54
Pão de forma,Sliced bread,Pan de molde,37,12.2,53.7
Pão francês,Bread roll,Pan francés,30.8,17.1,53.2
Pão doce,Sweet bread,Pan dulce,25.7,21,52.1
cavala,Mackerel,Caballa,52.6,-0.9,51.2
Leite em pó,Powdered milk,Leche en polvo,38.4,8.3,49.9
Azeite de oliva,Olive oil,Aceite de oliva,22.3,22.3,49.6
Cimento,Cement,Cemento,29.2,14.8,48.3
Pneu,Tyre,Neumático,65.1,-10.4,47.9
Detergente,Detergent,Detergente,36.5,8.2,47.7
Arroz,Rice,Arroz,50.5,-1.9,47.6
Bolo,Cake,Pastel,24.5,17.1,45.8
Biscoito,Biscuits,Galletas,35,7.8,45.5
Farinha de trigo,Wheat flour,Harina de trigo,72.2,-16,44.6
Sal,Salt,Sal,30.4,9.3,42.5
Automóvel novo,New car,Automóvil nuevo,29,9.9,41.8
Cebola,Onion,Cebolla,72.1,-17.7,41.6
Maçã,Apple,Manzana,42.2,-0.9,40.9
Linguiça,Pork sausage,Chorizo fresco,40.6,-0.7,39.6
Feijão preto,Black beans,Frijol negro,45.9,-4.5,39.3
Ar-condicionado,Air conditioner,Aire acondicionado,29.3,7.5,39
Colchão,Mattress,Colchón,35.3,1.3,37.1
Manteiga,Butter,Mantequilla,33.7,2.2,36.6
tainha,Mullet,Lisa,47.3,-7.5,36.3
Leite condensado,Condensed milk,Leche condensada,40.1,-3.2,35.6
Inhame,Yam,Ñame,26.3,7.1,35.3
Salsicha,Sausage,Salchicha,37,-1.3,35.2
Macarrão,Pasta,Pasta,37.6,-2.8,33.7
Maracujá,Passion fruit,Maracuyá,36.4,-2.1,33.5
Carne de carneiro,Mutton,Carne de cordero,23.3,8.3,33.5
Presunto,Ham,Jamón,28.8,3.3,33.1
tilápia,Tilapia,Tilapia,20.2,8.8,30.8
Computador,Computer,Computadora,21.3,7.2,30
Bicicleta,Bicycle,Bicicleta,35.2,-4.4,29.3
Sabão em pó,Washing powder,Detergente en polvo,31.1,-1.4,29.3
Fubá de milho,Cornmeal,Harina de maíz,48.4,-13.2,28.8
